hello
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
8               0.89640         0.48300         0.74804      
9               0.90330         0.40300         0.75064      
10              0.89720         0.48600         0.74571      
11              0.91300         0.48000         0.74853      
12              0.91880         0.50400         0.74775      
13              0.91690         0.46500         0.74814      
14              0.93090         0.50200         0.74835      
15              0.82810         0.58700         0.75109      
16              0.83630         0.62300         0.75165      
17              0.78830         0.61100         0.74812      
18              0.75760         0.58100         0.75169      
19              0.75910         0.60500         0.74958      
20              0.71730         0.52700         0.75232      
21              0.72770         0.54900         0.75005      
22              0.73090         0.55400         0.74558      
23              0.72360         0.53700         0.75121      
24              0.72800         0.55700         0.74871      
25              0.71730         0.66600         0.75350      
26              0.69810         0.67100         0.75063      
27              0.67980         0.46700         0.74997      
28              0.70550         0.61600         0.75319      
29              0.70530         0.67700         0.74547      
30              0.67450         0.65400         0.75076      
31              0.63230         0.52700         0.75331      
32              0.62090         0.49700         0.75176      
33              0.61860         0.49700         0.75233      
34              0.62820         0.54500         0.75181      
35              0.64190         0.69500         0.74719      
36              0.66620         0.70900         0.74736      
37              0.61140         0.69800         0.72108      
38              0.61960         0.63100         0.69396      
39              0.60700         0.71100         0.69096      
40              0.66760         0.70600         0.68663      
41              0.62650         0.71500         0.68720      
42              0.59040         0.70800         0.68647      
43              0.61290         0.72300         0.68698      
44              0.66900         0.69800         0.68690      
45              0.63120         0.71600         0.68822      
46              0.59700         0.65500         0.83886      
47              0.49620         0.70800         0.86555      
48              0.49960         0.73000         0.86604      
49              0.60450         0.61800         0.86502      
0               0.00000         0.00000         39.21143     
./datasets/cifarmnist2_10000.pt dataset not found. Creating dataset...
Files already downloaded and verified
Files already downloaded and verified
epoch           train_acc       test_acc        time         
0               0.84960         0.15900         2.63182      
1               0.85830         0.31300         0.74080      
2               0.85990         0.39100         0.73803      
3               0.86980         0.37800         0.73461      
