date,record_train_acc,record_test_acc,last_train_acc,last_test_acc
2024-09-05 21:51:31,0.8466000211238861,0.10300000756978989,0.8466000211238861,0.10300000756978989
2024-09-05 21:51:33,0.8476000233888626,0.10600000619888306,0.8476000233888626,0.10600000619888306
2024-09-05 21:51:35,0.8489000244736672,0.11600000411272049,0.8489000244736672,0.11600000411272049
2024-09-05 21:51:37,0.8489000244736672,0.11600000411272049,0.8511000289916992,0.10100000351667404
2024-09-05 21:51:39,0.8567000267505646,0.2630000114440918,0.8567000267505646,0.2630000114440918
2024-09-05 21:51:41,0.8567000267505646,0.2630000114440918,0.8531000250577927,0.1510000079870224
2024-09-05 21:51:43,0.8569000253677368,0.4220000207424164,0.8569000253677368,0.4220000207424164
2024-09-05 21:51:45,0.8569000253677368,0.4220000207424164,0.8605000269412995,0.3370000123977661
2024-09-05 21:51:47,0.8610000155568123,0.5130000114440918,0.8610000155568123,0.5130000114440918
2024-09-05 21:51:48,0.8610000155568123,0.5130000114440918,0.8644000189900398,0.3580000102519989
2024-09-05 21:51:50,0.8610000155568123,0.5130000114440918,0.8564000273942948,0.24800001084804535
2024-09-05 21:51:52,0.8610000155568123,0.5130000114440918,0.8681000244617462,0.3320000171661377
2024-09-05 21:51:54,0.8610000155568123,0.5130000114440918,0.8710000326633454,0.36100003123283386
2024-09-05 21:51:56,0.8610000155568123,0.5130000114440918,0.8694000266194344,0.3890000283718109
2024-09-05 21:51:58,0.8610000155568123,0.5130000114440918,0.8593000242710114,0.18800000846385956
2024-09-05 21:52:00,0.8610000155568123,0.5130000114440918,0.6400000147223472,0.3360000252723694
2024-09-05 21:52:02,0.8610000155568123,0.5130000114440918,0.5430000098347664,0.48900002241134644
2024-09-05 21:52:04,0.8610000155568123,0.5130000114440918,0.5804000117182732,0.5
2024-09-05 21:52:06,0.8610000155568123,0.5130000114440918,0.518800008803606,0.5410000085830688
2024-09-05 21:52:08,0.8610000155568123,0.5130000114440918,0.5090000142455101,0.5649999976158142
2024-09-05 21:52:09,0.8610000155568123,0.5130000114440918,0.5087000189125538,0.5730000138282776
2024-09-05 21:52:11,0.8610000155568123,0.5130000114440918,0.5051000140607357,0.5670000314712524
2024-09-05 21:52:13,0.8610000155568123,0.5130000114440918,0.5073000189960003,0.5640000104904175
2024-09-05 21:52:15,0.8610000155568123,0.5130000114440918,0.5041000089347363,0.5590000152587891
2024-09-05 21:52:17,0.8610000155568123,0.5130000114440918,0.5067000099420548,0.5580000281333923
2024-09-05 21:52:19,0.8610000155568123,0.5130000114440918,0.5017000100314617,0.5580000281333923
2024-09-05 21:52:21,0.8610000155568123,0.5130000114440918,0.503700011074543,0.5590000152587891
2024-09-05 21:52:23,0.8610000155568123,0.5130000114440918,0.4998000136315823,0.562000036239624
2024-09-05 21:52:25,0.8610000155568123,0.5130000114440918,0.5047000102698803,0.550000011920929
2024-09-05 21:52:26,0.8610000155568123,0.5130000114440918,0.5023000153899193,0.5520000457763672
2024-09-05 21:52:28,0.8610000155568123,0.5130000114440918,0.5006000162363052,0.5509999990463257
2024-09-05 21:52:30,0.8610000155568123,0.5130000114440918,0.5007000129520893,0.5550000071525574
2024-09-05 21:52:32,0.8610000155568123,0.5130000114440918,0.5005000108480453,0.5550000071525574
2024-09-05 21:52:34,0.8610000155568123,0.5130000114440918,0.498700015604496,0.5570000410079956
2024-09-05 21:52:36,0.8610000155568123,0.5130000114440918,0.49670001032948496,0.5560000538825989
2024-09-05 21:52:38,0.8610000155568123,0.5130000114440918,0.49610001406073573,0.5540000200271606
2024-09-05 21:52:40,0.8610000155568123,0.5130000114440918,0.4939000072181225,0.550000011920929
2024-09-05 21:52:42,0.8610000155568123,0.5130000114440918,0.4921000076532364,0.5520000457763672
2024-09-05 21:52:44,0.8610000155568123,0.5130000114440918,0.49120000886917115,0.550000011920929
2024-09-05 21:52:46,0.8610000155568123,0.5130000114440918,0.4907000077366829,0.5520000457763672
2024-09-05 21:52:48,0.8610000155568123,0.5130000114440918,0.48710000911355017,0.5530000329017639
2024-09-05 21:52:50,0.8610000155568123,0.5130000114440918,0.4881000111699104,0.5550000071525574
2024-09-05 21:52:51,0.8610000155568123,0.5130000114440918,0.4886000106036663,0.5570000410079956
2024-09-05 21:52:53,0.8610000155568123,0.5130000114440918,0.48790001234412195,0.5640000104904175
2024-09-05 21:52:55,0.8610000155568123,0.5130000114440918,0.4887000081837177,0.5570000410079956
2024-09-05 21:52:57,0.8610000155568123,0.5130000114440918,0.49070000794529917,0.5580000281333923
2024-09-05 21:52:59,0.8610000155568123,0.5130000114440918,0.49330000567436216,0.5560000538825989
2024-09-05 21:53:01,0.8610000155568123,0.5130000114440918,0.49850001093745233,0.5560000538825989
2024-09-05 21:53:03,0.8610000155568123,0.5130000114440918,0.49760001492500305,0.5440000295639038
2024-09-05 21:53:05,0.8610000155568123,0.5130000114440918,0.4998000136315823,0.5370000004768372
