runid,date,model,hidden_dim,algorithm,dataset,epochs,time elapsed,record_train_acc,record_test_acc,last_train_acc,last_test_acc,target density/prune,final l1 norm,learning rate,optimizer,momentum,percent zeros,irmv1_gradnorm penalty,irmv1_penalty_anneal_iter,pgd_anneal_iter,orig 28x28,ts,te,fraction z,pgd skip,rho tolerance,run notes
0,2025-04-08 11:38:04,EBD,390,pgd-IRMv1,mnistcifar,50,37.165998697280884,0.8356000295877457,0.7700000149011612,0.502200014859438,0.5009999960660935,25.0,4.345073699951172,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:38:50,EBD,390,pgd-IRMv1,mnistcifar,50,34.564175605773926,0.8208000226020813,0.765000022649765,0.580000011742115,0.563999987244606,25.0,4.780935764312744,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:39:36,EBD,390,pgd-IRMv1,mnistcifar,50,34.544047832489014,0.8196000294089317,0.7610000270605087,0.5000000090003014,0.5000000089406967,25.0,4.517078876495361,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:40:22,EBD,390,pgd-IRMv1,mnistcifar,50,34.84920024871826,0.8423000276088715,0.7600000047683716,0.5000000075995922,0.49999999612569807,25.0,4.977453231811523,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:41:07,EBD,390,pgd-IRMv1,mnistcifar,50,34.311564445495605,0.8493000246286392,0.7530000185966492,0.4977000084519386,0.4999999952316284,25.0,6.314780235290527,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:41:54,EBD,390,pgd-IRMv1,mnistcifar,50,34.82196545600891,0.7993000234961509,0.7610000121593475,0.5000000075995922,0.49999999612569807,25.0,4.979803085327148,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:42:41,EBD,390,pgd-IRMv1,mnistcifar,50,34.615692377090454,0.8473000259399414,0.7510000169277191,0.6146000064611435,0.5890000015497208,25.0,5.89423942565918,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:43:26,EBD,390,pgd-IRMv1,mnistcifar,50,34.39794325828552,0.8272000246047974,0.7620000118017196,0.4895000061392784,0.49100001096725465,25.0,2.9394307136535645,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:44:13,EBD,390,pgd-IRMv1,mnistcifar,50,34.82607173919678,0.8467000212073326,0.7690000337362289,0.6444000090956687,0.5920000159740448,25.0,4.149176597595215,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:44:59,EBD,390,pgd-IRMv1,mnistcifar,50,34.39226484298706,0.8324000237584114,0.7730000066757202,0.5838000120520592,0.553999993801117,25.0,4.557771682739258,0.006,adam,None,0.10546875,10000.0,400,1200,False,0.28,0.6,0.8,5,54,running batch notes
0,2025-04-08 11:45:46,EBD,390,pgd-IRMv1,mnistcifar,50,36.054699659347534,0.8303000320196152,0.7700000077486038,0.6861000320315361,0.650000005364418,25.0,11.292181015014648,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:46:32,EBD,390,pgd-IRMv1,mnistcifar,50,34.62978434562683,0.8372000240087509,0.764000015258789,0.6498000150322915,0.6139999973773956,25.0,7.2450642585754395,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:47:18,EBD,390,pgd-IRMv1,mnistcifar,50,34.99528241157532,0.8202000303268433,0.7740000218153,0.5000000075995922,0.49999999612569807,25.0,7.72105598449707,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:48:03,EBD,390,pgd-IRMv1,mnistcifar,50,34.24457836151123,0.8129000241160392,0.7610000306367875,0.5000000075995922,0.49999999612569807,25.0,6.755679130554199,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:48:54,EBD,390,pgd-IRMv1,mnistcifar,50,34.48139405250549,0.8597000267505646,0.756000030040741,0.6537000145912171,0.6590000057220459,25.0,9.647794723510742,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:49:41,EBD,390,pgd-IRMv1,mnistcifar,50,34.62987303733826,0.8499000242948532,0.7660000294446945,0.588400007724762,0.5520000118017196,25.0,6.294917106628418,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:50:27,EBD,390,pgd-IRMv1,mnistcifar,50,34.75079393386841,0.8422000241279602,0.7650000178813934,0.5808000091910362,0.5579999971389771,25.0,6.158410549163818,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:51:13,EBD,390,pgd-IRMv1,mnistcifar,50,35.157052993774414,0.8238000245094299,0.7730000120401382,0.501300012409687,0.502999997138977,25.0,5.598230361938477,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:52:00,EBD,390,pgd-IRMv1,mnistcifar,50,34.694161891937256,0.8406000236868858,0.7660000169277191,0.5000000075995922,0.49999999612569807,25.0,6.178633689880371,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:52:46,EBD,390,pgd-IRMv1,mnistcifar,50,34.70103311538696,0.8376000230312347,0.7670000141859055,0.6478000131845474,0.6109999841451645,25.0,7.178359508514404,0.006,adam,None,0.11328125,10000.0,400,1200,False,0.28,0.6,0.8,5,58,running batch notes
0,2025-04-08 11:53:32,EBD,390,pgd-IRMv1,mnistcifar,50,34.547911167144775,0.8314000220298767,0.7600000298023224,0.5641000102758408,0.544000004529953,25.0,4.680751800537109,0.006,adam,None,0.115234375,10000.0,400,1200,False,0.28,0.6,0.8,5,59,running batch notes
0,2025-04-08 11:54:19,EBD,390,pgd-IRMv1,mnistcifar,50,34.34159731864929,0.8272000326514244,0.7590000289678573,0.5000000075995922,0.49999999612569807,25.0,4.9790472984313965,0.006,adam,None,0.115234375,10000.0,400,1200,False,0.28,0.6,0.8,5,59,running batch notes
0,2025-04-08 11:55:05,EBD,390,pgd-IRMv1,mnistcifar,50,34.878519773483276,0.8169000217318535,0.7590000218153,0.6821000291109085,0.6450000166893005,25.0,5.789191246032715,0.006,adam,None,0.115234375,10000.0,400,1200,False,0.28,0.6,0.8,5,59,running batch notes
